,x
1590_s_at,0.062817698
1591_s_at,-0.140991718
1592_at,-0.109679253
1593_at,-0.069319851
1594_at,0.102552588
1595_at,-0.014476234
1596_g_at,-0.267712719
1597_at,-0.362715783
1598_g_at,-0.314500926
1599_at,-0.015564207
160_at,0.009266593
1600_at,0.134468895
160020_at,-0.124554348
160021_r_at,0.096568275
160022_at,0.029296465
160023_at,0.110262498
160024_at,0.072218827
160025_at,-0.365783131
160026_at,0.154306191
160027_s_at,-0.120266026
160028_s_at,0.136772277
160029_at,1.2505777
160030_at,0.121148308
160031_at,0.018174991
160032_at,-0.147111872
160033_s_at,-0.04101116
160034_s_at,0.198896973
160035_at,0.193368721
160036_at,0.211462978
160037_at,0.000719413
160038_s_at,0.050522616
160039_at,-0.009024146
160040_at,0.387698698
160041_at,0.196856594
160042_s_at,0.170558185
160043_at,-0.895430819
160044_g_at,0.125253434
1601_s_at,-0.165793074
1602_at,0.332365325
1603_g_at,0.15311455
1604_at,0.215877522
1605_g_at,0.233097635
1606_at,-0.052414869
1607_at,0.107675862
1608_at,0.064049613
1609_g_at,-0.195153633
161_at,0.061634022
1610_s_at,0.065222514
1611_s_at,0.110433325
1612_s_at,-0.310176124
1613_s_at,-0.000352734
1614_s_at,-0.02212568
1615_at,-0.036694983
1616_at,-0.165864341
1617_at,-0.092485895
1618_at,0.150903897
1619_g_at,0.008341482
162_at,-0.350587869
1620_at,0.158404305
1621_at,0.286732391
1622_at,-0.279379415
1623_s_at,0.080170347
1624_at,-0.023322796
1625_at,0.18991765
1626_at,0.161820026
1627_at,0.096679692
1628_at,0.099640642
1629_s_at,-0.319565674
163_at,-0.103152683
1630_s_at,0.32583164
1631_at,0.19025438
1632_at,0.093963036
1633_g_at,-0.040300185
1634_s_at,0.154342641
1635_at,-0.071411429
1636_g_at,0.103369099
1637_at,0.008752139
1638_at,0.034446255
1639_s_at,-0.108972022
164_at,0.089728546
1640_at,0.024118273
1641_s_at,-0.21098483
1642_at,-0.281263339
1643_g_at,-0.421030074
1644_at,0.279347359
1645_at,0.103013887
1646_at,0.261887139
1647_at,-0.367726967
1648_at,-1.138510274
1649_at,-0.209834956
165_g_at,0.23158732
1650_g_at,-0.227282262
1651_at,-1.089327426
1652_at,-0.214385558
1653_at,0.203609216
1654_at,0.185166741
1655_s_at,0.254390617
1656_s_at,-0.472526237
1657_at,0.32637689
1658_g_at,0.335448193
1659_s_at,0.156589595
166_at,0.013439191
1660_at,0.235457177
1661_i_at,0.075210078
1662_r_at,-0.004277881
1663_at,0.118478944
1664_at,-0.896459589
1665_s_at,0.050394217
1666_at,0.094063448
1667_s_at,0.005988308
1668_s_at,0.342918374
1669_at,-0.754825356
167_at,0.13783804
1670_at,-0.069615585
1671_s_at,-0.163256756
1672_f_at,-0.634763983
1673_at,0.062765149
1674_at,0.188353724
1675_at,-0.598154326
1676_s_at,0.021286436
1677_at,-0.124198084
1678_g_at,-0.74986331
1679_at,0.145477938
168_at,0.128990256
1680_at,-0.165915883
1681_at,0.121865834
1682_s_at,0.216013008
1683_at,0.122898893
1684_s_at,0.054270573
1685_at,-0.066378708
1686_g_at,0.041477104
1687_s_at,-0.070317297
1688_s_at,-0.066065501
1689_at,0.22408901
169_at,0.172186208
1690_at,0.207886638
1691_at,0.034565411
1692_s_at,0.130911734
1693_s_at,-0.216461984
1694_s_at,-0.239352456
1695_at,-0.022563922
1696_at,0.465411135
1697_s_at,-0.325781767
1698_g_at,-0.060336235
1699_at,0.286885547
170_at,0.120603428
1700_at,0.032677792
1701_at,-0.022949188
1702_at,0.363064814
1703_g_at,-0.049008245
1704_at,-0.010076815
1705_s_at,0.113805642
1706_at,-0.036890813
1707_g_at,0.00332686
1708_at,0.060739509
1709_g_at,0.007143502
171_at,0.447626914
1710_s_at,-0.039320122
1711_at,0.078451384
1712_s_at,-0.002682238
1713_s_at,-0.47222512
1714_at,0.112690906
1715_at,-0.358807585
1716_at,-0.019096425
1717_s_at,-0.558090421
1718_at,-0.491625583
1719_at,-0.0524978
172_at,-0.069588597
1720_at,0.2258561
1721_g_at,0.196689868
1722_at,0.196944163
1723_g_at,-0.340211439
1724_at,0.057728608
1725_s_at,-0.15870649
1726_at,0.01576073
1727_at,0.142220316
1728_at,0.316783225
1729_at,-0.059816191
173_at,0.082673054
1730_s_at,0.241825491
1731_at,-0.58404322
1732_at,-0.211957748
1733_at,-0.197308984
1734_at,0.013992005
1735_g_at,0.028838259
1736_at,-0.840123284
1737_s_at,-0.990369144
1738_at,0.171082498
1739_at,0.081475666
174_s_at,0.131475432
1740_g_at,0.01961776
1741_s_at,-1.172988238
1742_at,0.094896029
1743_s_at,-0.054003939
1744_at,0.117266834
1745_at,-0.036485006
1746_s_at,0.064970569
1747_at,-0.061990641
1748_s_at,0.688909089
1749_at,0.006190617
175_s_at,0.129002019
1750_at,0.009896342
1751_g_at,0.279156305
1752_at,-0.611431422
1753_s_at,-0.197545626
1754_at,-0.013164172
1755_i_at,0.164968209
1756_f_at,-0.046110623
1757_i_at,-0.011678362
1758_r_at,-0.044966896
1759_f_at,-0.009009309
176_at,0.11481303
1760_s_at,0.389600648
1761_at,-0.372486728
1762_at,0.138621503
1763_at,-0.007056012
1764_s_at,-0.327277718
1765_at,0.172672582
1766_g_at,0.313548125
1767_s_at,0.050060841
1768_s_at,-0.013931042
1769_at,0.049408324
177_at,0.104830455
1770_at,0.203061343
1771_s_at,-0.252006891
1772_s_at,-0.077467157
1773_at,-0.172198774
1774_at,0.105782551
1775_at,0.046714997
1776_at,0.180685537
1777_at,-0.074831126
1778_g_at,-0.259113685
1779_s_at,0.848458869
178_f_at,0.083859186
1780_at,0.115453673
1781_at,-0.031636937
1782_s_at,0.405212811
1783_at,-0.126612228
1784_s_at,0.235249192
1785_at,0.033970397
1786_at,0.061202695
1787_at,-0.205015199
1788_s_at,-1.660892215
1789_at,0.509523449
179_at,-0.019097692
1790_s_at,-0.05430397
1791_s_at,0.183893354
1792_g_at,-0.109179344
1793_at,-0.000506516
1794_at,0.098022718
1795_g_at,0.218162224
1796_s_at,-0.106697374
1797_at,-0.051716584
1798_at,-1.52129981
1799_at,0.018191422
180_at,-0.015435188
1800_g_at,0.088610028
1801_at,-0.201564572
1802_s_at,-0.296162369
1803_at,0.23344912
1804_at,0.092001782
1805_g_at,0.221932772
1806_at,0.012376971
1807_g_at,0.041593579
1808_s_at,0.067767612
1809_at,0.332332127
181_g_at,0.058859601
1810_s_at,-0.053909987
1811_at,0.279736514
1812_s_at,-0.382382705
1813_at,-0.225649496
1814_at,-1.022927439
1815_g_at,-1.339933025
1816_at,0.112111877
1817_at,0.362183621
1818_at,0.185527013
1819_at,-0.157974455
182_at,-0.462153918
1820_g_at,0.041826149
1821_at,0.407169576
1822_at,-0.223003858
1823_g_at,0.04515523
1824_s_at,-0.242184506
1825_at,-0.42482449
1826_at,-0.752330486
1827_s_at,-0.344051421
1828_s_at,0.076273493
183_at,0.091767836
1830_s_at,-0.006827184
1831_at,-0.046732926
1832_at,-0.10299888
1833_at,-0.528736014
1834_at,-0.121682535
1836_at,-0.266303682
1837_at,0.058832108
1838_g_at,0.014444413
1839_at,0.231333673
184_at,0.008951406
1840_g_at,0.253193543
1841_s_at,0.131363233
1842_at,0.838569813
1843_at,0.20905952
1844_s_at,-0.232126239
1845_at,-0.043311921
1846_at,-0.146965675
1847_s_at,0.088126858
1848_at,0.102498225
1849_s_at,0.191436824
185_at,0.011329236
1850_at,0.340293624
1851_s_at,0.230297007
1852_at,0.120995655
1853_at,0.32116139
1854_at,-0.081794937
1855_at,0.189256117
1856_at,-0.225886877
1857_at,-0.675855535
1858_at,0.027466719
1859_s_at,0.193574942
186_at,-0.025038157
1860_at,0.298977836
1861_at,-0.053751452
1862_at,0.37907273
1863_s_at,0.11878484
1865_at,0.042982445
1866_g_at,-0.013391621
1867_at,0.107318829
1868_g_at,0.076544134
1869_at,-0.013495309
187_at,-0.109145553
1870_at,-0.072945305
1871_g_at,-0.156932864
1872_at,0.323440474
1873_at,0.152631001
1874_at,-0.322753683
1875_f_at,0.09316175
1876_at,0.045717943
1877_g_at,0.322135806
1878_g_at,0.084796156
1879_at,-0.443456556
188_at,-0.012381366
1880_at,-0.017198808
1881_at,0.313490098
1882_g_at,0.445676318
1883_s_at,0.13750056
1884_s_at,-0.167458762
1885_at,-0.022060262
1886_at,0.166535532
1887_g_at,0.207837336
1888_s_at,0.000924114
189_s_at,-0.313217491
1890_at,-0.043360038
1891_at,0.348187737
1892_s_at,0.302770698
1893_s_at,0.202026261
1894_f_at,0.043716138
1895_at,-0.328526217
1896_s_at,-0.370843811
1897_at,0.121944096
1898_at,-0.341663607
1899_s_at,-0.026596225
190_at,0.119632513
1900_at,0.178795069
1901_s_at,-0.130980762
1902_at,0.120023522
1903_at,0.108920189
1904_at,0.501650904
1905_s_at,0.003251442
1906_at,-0.212670935
1907_at,0.093826996
1908_at,0.143432081
1909_at,-0.061346998
191_at,0.105829509
1910_s_at,0.108886434
1911_s_at,0.456321594
1912_s_at,0.132867176
1913_at,-0.699377228
1914_at,0.11522494
1915_s_at,-1.33559631
1916_s_at,-2.026565816
1917_at,-0.254118157
1918_at,0.256610553
1919_at,-0.168947901
192_at,0.294805396
1920_s_at,-0.038833719
1921_at,0.118650008
1922_g_at,0.26978499
1923_at,-0.033962861
1924_at,0.617150171
1925_at,0.06800611
1926_at,-0.108884051
1927_s_at,0.146452893
1928_s_at,-0.281022516
1929_at,0.82192999
193_at,0.377701557
1930_at,-0.1080708
1931_at,0.248893302
1932_at,0.104498887
1933_g_at,0.24820218
1934_s_at,-0.61261001
1935_at,0.125636548
1936_s_at,-0.082139334
1937_at,-0.150116529
1938_at,0.052613768
1939_at,-0.825321717
194_at,0.019641228
1940_at,-0.133934945
1941_at,0.057401075
1942_s_at,0.11804761
1943_at,0.341876956
1944_f_at,0.159000912
1945_at,0.246285226
1946_at,0.0511117
1947_g_at,0.127337171
1948_f_at,0.143829571
1949_at,0.341977139
195_s_at,-1.520955161
1950_s_at,-0.199940557
1951_at,-0.012265163
1952_s_at,0.383407637
1953_at,-0.227345771
1954_at,0.262883384
1955_s_at,0.155794075
1956_s_at,0.248491316
1957_s_at,0.059947276
1958_at,0.227233133
1959_at,-0.171900442
196_s_at,0.336310673
1960_at,0.26090807
1961_f_at,0.129072974
1962_at,-0.013804373
1963_at,-0.016899791
1964_g_at,0.025404344
1965_s_at,-0.035787622
1966_i_at,0.100559582
1967_f_at,0.104709025
1968_g_at,-0.091662908
1969_s_at,0.293049228
197_at,0.022066528
1970_s_at,-0.223154292
1971_g_at,-0.029994951
1972_s_at,-0.127793718
1973_s_at,-0.015501973
1974_s_at,-0.665700048
1975_s_at,0.212294865
1976_s_at,0.088208903
1977_s_at,-0.135321845
1978_at,-0.037871195
1979_s_at,-0.296657852
198_g_at,-0.00521589
1980_s_at,0.138427852
1981_s_at,-0.092533929
1983_at,0.060232223
1984_s_at,-0.768076835
1985_s_at,0.348689123
1986_at,-0.240938156
1987_at,-0.023269541
1988_at,0.00373069
1989_at,0.15519467
199_s_at,0.107357237
1990_g_at,-0.063840537
1991_s_at,-0.210312014
1992_at,0.043500806
1993_s_at,0.107654552
1994_at,0.320864808
1995_at,0.446596374
1996_s_at,0.025851391
1997_s_at,-0.118738231
1998_i_at,-0.30939463
1999_s_at,-0.033306935
200_at,0.036560263
2000_at,-0.554564371
2001_g_at,-0.080343358
2002_s_at,-0.292823072
2003_s_at,0.1095898
2004_at,-0.354972175
2005_s_at,0.105993236
2006_at,0.05385886
2007_g_at,0.015745818
2008_s_at,0.1624648
2009_at,0.083018179
201_s_at,-0.371635163
2010_at,0.06092311
2011_s_at,0.076527845
2012_s_at,-0.007001812
2013_at,0.080161073
2014_s_at,-0.282525601
2015_s_at,0.10396948
2016_s_at,0.11876859
2017_s_at,-1.22942144
2018_at,0.046197265
2019_s_at,-1.183739832
202_at,0.040330587
2020_at,-1.305221066
2021_s_at,0.116855777
2022_at,0.016085799
2023_g_at,0.092731585
2024_s_at,0.734238657
2025_s_at,-0.182605871
2026_at,0.062164175
2027_at,0.047643103
2028_s_at,-0.132719304
2029_at,0.152340015
203_at,0.572998841
2030_at,0.181674968
2031_s_at,-0.558573522
2032_s_at,0.04720935
2033_s_at,0.191974586
2034_s_at,0.154267726
2035_s_at,-0.283316173
2036_s_at,-2.428898383
2037_s_at,-0.222330038
2038_g_at,0.071724653
2039_s_at,-0.420957304
204_at,0.19186619
